Product_ID,Product_Name,Category,Unit_Price,Unit_Cost
P035,Bucket,Cleaning & Household,300,150
P041,Salt 1kg,Groceries & Food,30,20
P096,Desk Organizer,Home & Living,500,260
P067,Moisturizer,Personal Care,450,280
P043,Breakfast Cereal,Groceries & Food,280,170
P065,Hand Wash,Personal Care,140,70
P070,Razor Pack,Personal Care,300,170
P087,Pillow,Home & Living,700,400
P025,Floor Cleaner,Cleaning & Household,220,110
P060,Coconut Water,Beverages,70,40
P059,Iced Tea,Beverages,100,55
P031,Cleaning Sponge Pack,Cleaning & Household,120,50
P037,Basmati Rice 5kg,Groceries & Food,650,500
P079,Pet Leash,Pet Supplies,500,280
P013,Bath Towel,Bathroom Items,500,280
P090,Photo Frame,Home & Living,300,150
P085,Table Lamp,Home & Living,1200,700
P047,Tea Pack,Groceries & Food,250,150
P027,Laundry Detergent,Cleaning & Household,450,240
P062,Body Wash,Personal Care,280,160
P042,Pasta,Groceries & Food,90,55
P056,Lemon Drink,Beverages,60,35
P038,Wheat Flour 5kg,Groceries & Food,300,220
P068,Deodorant,Personal Care,250,140
P044,Biscuits Pack,Groceries & Food,120,70
P072,Cotton Pads,Personal Care,120,60
P001,Frying Pan,Kitchen Items,1200,750
P046,Honey,Groceries & Food,400,260
P005,Spatula Set,Kitchen Items,300,150
P040,Sugar 1kg,Groceries & Food,55,42
P095,Storage Box,Home & Living,600,320
P069,Hair Oil,Personal Care,220,120
P086,Bed Sheet,Home & Living,1500,900
P093,Doormat,Home & Living,450,250
P084,Pet Comb,Pet Supplies,180,90
P073,Dog Food,Pet Supplies,900,650
P023,Hand Towel,Bathroom Items,220,100
P026,Dishwashing Liquid,Cleaning & Household,160,75
P030,Garbage Bags,Cleaning & Household,180,80
P061,Shampoo,Personal Care,350,200
P063,Toothpaste,Personal Care,120,70
P053,Green Tea Drink,Beverages,120,70
P028,Broom,Cleaning & Household,350,180
P015,Soap Dispenser,Bathroom Items,350,180
P055,Cold Coffee,Beverages,90,50
P036,Dustpan,Cleaning & Household,200,90
P002,Chef Knife,Kitchen Items,900,520
P011,Pressure Cooker,Kitchen Items,2500,1700
P092,Curtain Set,Home & Living,1800,1100
P008,Lunch Box,Kitchen Items,600,320
P003,Cutting Board,Kitchen Items,350,180
P029,Mop,Cleaning & Household,650,380
P051,Apple Juice,Beverages,160,95
P050,Orange Juice,Beverages,150,90
P039,Cooking Oil 1L,Groceries & Food,180,140
P006,Mixer Bowl,Kitchen Items,650,350
P017,Toilet Brush,Bathroom Items,250,130
P048,Coffee Pack,Groceries & Food,450,300
P057,Mango Juice,Beverages,140,80
P019,Towel Rack,Bathroom Items,900,500
P033,Air Freshener,Cleaning & Household,280,140
P014,Shower Curtain,Bathroom Items,700,380
P088,Blanket,Home & Living,2000,1300
P094,Clothes Hanger Set,Home & Living,350,170
P004,Cooking Pot,Kitchen Items,1500,900
P045,Peanut Butter,Groceries & Food,350,220
P081,Bird Food,Pet Supplies,200,120
P009,Storage Container Set,Kitchen Items,800,450
P024,Toothbrush Holder,Bathroom Items,180,85
P058,Soda Water,Beverages,40,22
P021,Laundry Basket,Bathroom Items,1000,600
P064,Toothbrush,Personal Care,80,35
P010,Coffee Mug,Kitchen Items,250,110
P012,Kitchen Towel,Kitchen Items,180,80
P091,Cushion Cover,Home & Living,250,110
P082,Pet Treats,Pet Supplies,280,150
P022,Bathroom Scale,Bathroom Items,1500,950
P080,Pet Bed,Pet Supplies,1800,1200
P075,Pet Shampoo,Pet Supplies,300,170
P071,Sanitary Pads,Personal Care,180,100
P032,Glass Cleaner,Cleaning & Household,200,95
P066,Face Wash,Personal Care,300,180
P052,Cola Drink,Beverages,50,30
P076,Dog Toy,Pet Supplies,250,120
P054,Energy Drink,Beverages,110,65
P007,Water Bottle,Kitchen Items,450,220
P089,Wall Clock,Home & Living,800,450
P034,Disinfectant Spray,Cleaning & Household,250,120
P049,Mineral Water,Beverages,30,15
P078,Pet Bowl,Pet Supplies,350,180
P018,Mirror,Bathroom Items,1200,700
P077,Cat Toy,Pet Supplies,220,100
P020,Shower Caddy,Bathroom Items,750,420
P016,Bathroom Mat,Bathroom Items,650,360
P083,Litter Sand,Pet Supplies,550,350
P074,Cat Food,Pet Supplies,850,600
