Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount_Percent,Gross_Sales,Discount_Amount,Revenue,Profit,Payment_Method
ORD00001,2024-11-06,C0240,P035,S004,1,5,300,15.0,285.0,135.0,Credit Card
ORD00002,2024-05-07,C0082,P041,S001,2,5,60,3.0,57.0,17.0,Credit Card
ORD00003,2026-09-06,C0044,P096,S003,2,0,1000,0.0,1000.0,480.0,UPI
ORD00004,2025-12-02,C0066,P096,S007,2,15,1000,150.0,850.0,330.0,Debit Card
ORD00005,2025-06-25,C0365,P067,S006,2,0,900,0.0,900.0,340.0,UPI
ORD00006,2025-04-05,C0357,P043,S003,4,20,1120,224.0,896.0,216.0,Debit Card
ORD00007,2026-09-28,C0130,P065,S006,1,0,140,0.0,140.0,70.0,Wallet
ORD00008,2025-07-14,C0374,P070,S003,1,5,300,15.0,285.0,115.0,Credit Card
ORD00009,2026-03-19,C0355,P087,S002,3,20,2100,420.0,1680.0,480.0,Cash
ORD00010,2025-08-12,C0048,P025,S001,4,0,880,0.0,880.0,440.0,Wallet
ORD00011,2026-09-08,C0005,P060,S005,1,10,70,7.0,63.0,23.0,UPI
ORD00012,2025-07-10,C0133,P059,S008,1,5,100,5.0,95.0,40.0,Credit Card
ORD00013,2026-12-23,C0278,P031,S005,1,0,120,0.0,120.0,70.0,UPI
ORD00014,2024-12-10,C0121,P037,S002,5,0,3250,0.0,3250.0,750.0,Debit Card
ORD00015,2026-09-01,C0343,P079,S007,2,0,1000,0.0,1000.0,440.0,Wallet
ORD00016,2024-05-01,C0392,P035,S003,4,0,1200,0.0,1200.0,600.0,Credit Card
ORD00017,2024-03-17,C0109,P037,S004,4,0,2600,0.0,2600.0,600.0,Cash
ORD00018,2024-03-15,C0187,P013,S007,5,0,2500,0.0,2500.0,1100.0,Credit Card
ORD00019,2025-08-15,C0143,P090,S004,3,0,900,0.0,900.0,450.0,Credit Card
ORD00020,2025-11-17,C0105,P013,S002,5,5,2500,125.0,2375.0,975.0,Credit Card
ORD00021,2026-10-29,C0225,P085,S003,1,0,1200,0.0,1200.0,500.0,UPI
ORD00022,2025-06-10,C0101,P047,S005,2,0,500,0.0,500.0,200.0,UPI
